Sharpe,CAGR,MERTON_N_TOP,COMPOSITE_MOMENTUM_WINDOW,COMPOSITE_MOMENTUM_SKIP,COMPOSITE_REVERSAL_WINDOW,COMPOSITE_TREND_WINDOW,COV_SHORT_WINDOW,VIEW_SCALE,COV_BLEND_ALPHA,COV_SHRINKAGE,MERTON_GAMMA,BL_DELTA,MERTON_MAX_SECTOR
0.8081477108953712,0.13573645131630863,33,127,26,37,125,48,0.3805704168342368,0.32852874889622946,0.051091861552943006,-0.889675350364724,1.7211645468990415,0.49433043850574276
0.7876033096744287,0.13924484651678104,15,145,41,23,227,67,0.16282970698355673,0.7323353043774294,0.3882820907376873,-0.8870595376342539,2.6335116870432436,0.30001384379117146
0.6957079591869011,0.11586171048433425,29,88,23,5,104,96,0.45682707059342215,0.6632244050076859,0.08094020064860497,-1.3983055638091206,2.175263436173603,0.4179935067455443
0.7512004254767118,0.12651910799422295,25,166,36,29,113,30,0.2988452308468618,0.3679374761679093,0.18468558682759187,-0.5117536242023774,3.1566674419239225,0.4079940656046256
0.7105836315822646,0.11725103489547295,18,89,1,8,128,110,0.336078917305205,0.3494204850704786,0.35736782539319584,-0.9020442161033422,3.3724417875710575,0.2593179625777129
0.698548692817613,0.12282612032825457,14,92,41,17,233,33,0.1972888337705596,0.6302076206942289,0.16021991312864042,-0.9870787660972388,1.7381002108858505,0.49183259477836583
0.7151658095036116,0.12593589261830185,13,129,12,17,123,74,0.4113137170164389,0.5636011109616976,0.23782188885337824,-0.9410690632642414,2.821831105919407,0.3204007328932162
0.7844554641951741,0.1337350066338887,21,161,4,21,247,111,0.275000664986437,0.41948986614499034,0.14578214548717888,-1.4080320955267829,2.803349031962565,0.31001459759378913
0.7953220510089566,0.1405313711334526,26,114,30,16,238,48,0.5160648929573722,0.886474666958719,0.3158123670230865,-0.4910405943888562,1.9494783465269887,0.25223794791895654
0.784711308446212,0.13801791022060494,29,105,35,12,251,37,0.5442590888880725,0.4098348705268002,0.17617674455381455,-1.4617765475171567,2.9005340802240616,0.37194907443386577
0.7380770596197896,0.12562649512266044,13,79,29,15,133,26,0.5399842615446785,0.4837430590038545,0.0720200879207511,-0.5414575664025545,2.5934529884111024,0.3925766084877377
0.7314827261788289,0.12872626243587715,14,112,21,30,195,53,0.3746550872908147,0.4489910162122418,0.19877818528867927,-1.2371807474655725,3.342932763747618,0.3717485570397534
0.7989496127298001,0.1382830376868236,31,139,35,27,232,114,0.3358563440115836,0.8733478979004052,0.33106738611749476,-0.5215694324146266,2.6725180799475643,0.324647734209048
0.6321145047658716,0.1101456077934011,12,84,46,30,185,25,0.37016177288320307,0.5582311973781717,0.11823959444052927,-0.5380600959369526,2.052083236828209,0.27797158353717366
0.7053586050152564,0.12402734328690368,28,98,35,22,156,80,0.5284473519232773,0.5144709194469431,0.33743336495055376,-0.6388619070767259,2.1301588732294343,0.41435203152873856
0.7811291497046924,0.1363774388469683,28,149,28,12,220,119,0.14737883698440338,0.33708405912454015,0.24375550601071605,-1.1554095933817785,2.6056702099058517,0.3241383064153345
0.7655763093467892,0.13206065942134737,27,176,40,22,162,32,0.23742817117248788,0.3963477732143509,0.39609684433984416,-0.6587223347757619,1.9775104173156812,0.30162837229561834
0.8259757807519296,0.1429039466759543,29,153,27,34,249,73,0.5167245524276474,0.5598398118366207,0.25883467125930226,-1.4315780777251166,2.5801376777575697,0.30723136232016757
0.7073450362572186,0.1237585375726109,30,78,37,18,216,84,0.4836898799147972,0.49987858484122655,0.2304738728252982,-0.7653781222294874,1.52153663666228,0.39124802596119024
0.8126225747077763,0.1397711836368054,24,140,38,9,239,68,0.3095005193776235,0.7474027093968771,0.16029013735286626,-1.1001375234868416,1.6208419768199687,0.31173146365565885
0.794900572300639,0.13943929727287885,14,146,35,16,215,83,0.2754977418712723,0.6537221500010072,0.27799716909123223,-1.054336584057269,3.2709451324401497,0.2514854694096142
0.6815148408987538,0.11830022896055437,31,79,21,26,246,37,0.24801892088601812,0.44351030310604417,0.33460657129984406,-1.2179246086676012,2.4109901639851974,0.46669333378152933
0.72662775990917,0.12460528779840674,15,123,15,38,113,86,0.46641525047835647,0.5339784921966079,0.24219341197226688,-1.4792631482927052,2.857297732330195,0.2552838223356138
0.7976683166689164,0.1343395131993439,29,158,6,42,155,122,0.3904282148634093,0.7708961776181584,0.13099425430595638,-0.9918931028107053,2.980276137198839,0.28270244406716083
