Date,Strategy,SP500,MSCI_World (URTH)
2018-01-05,17698416.066307977,19331187.043016493,16856345.11799534
2018-01-08,17840432.94164436,19417017.52263763,16859167.55110848
2018-01-09,17940895.21069853,19569901.829574063,16993004.98591868
2018-01-10,17946050.89302466,19607323.73325104,17011982.612242475
2018-01-11,18023154.69010995,19706081.46450276,17092384.51945713
2018-01-12,17994386.497968048,19692971.80059163,17123586.54310877
2018-01-15,17772788.668101814,19692971.80059163,17123586.54310877
2018-01-16,17535424.14659454,19263590.264431696,16778339.571419183
2018-01-17,17717011.148775402,19442669.674027227,16875267.98806175
2018-01-18,17693566.20027478,19549089.49044498,16964812.877190575
2018-01-19,17719607.616233926,19553573.017511353,16969070.215029232
2018-01-22,17776791.942607358,19682168.544642888,17060404.6993161
2018-01-23,17883254.826049227,19722736.44730328,17114428.35485679
2018-01-24,17770748.3792253,19628569.707675047,17072232.522336803
2018-01-25,17611181.410686675,19508766.2635792,16937237.207791537
2018-01-26,17736401.172336105,19732679.77611238,17078987.58103256
2018-01-29,17473181.16531316,19545496.11739689,16921271.787321813
2018-01-30,17335542.72744812,19418357.065869953,16812771.439333174
2018-01-31,17307949.43702462,19383495.305309363,16803273.355300084
2018-02-01,17215431.26440938,19347323.85956632,16789157.427489933
2018-02-02,16622522.700853342,18787922.653151542,16315858.717653813
2018-02-05,16116425.370231234,18093373.164248444,15708019.422950221
2018-02-06,16598874.676727831,18567892.23355953,16103219.775350597
2018-02-07,16387373.646138297,18447063.25214389,15973027.828505868
2018-02-08,15902401.746307893,17918908.55762061,15594022.237050695
2018-02-09,16078801.542112162,18199011.654019102,15808921.349043958
2018-02-12,16372275.850186775,18478259.07279408,15999144.132413944
2018-02-13,16384029.203486688,18447505.174492415,15960315.908671306
2018-02-14,16699850.073771384,18620789.96200214,16150681.455799295
2018-02-15,16761642.836779961,18686700.147647608,16149813.749483163
2018-02-16,16656870.436125798,18637872.060929984,16138886.383936003
2018-02-19,16773374.59284386,18637872.060929984,16138886.383936003
2018-02-20,16626610.364218326,18677960.320112262,16150289.965525946
2018-02-21,16699788.940114977,18680444.4836314,16132872.102244722
2018-02-22,16796327.245549735,18786106.708778817,16247087.523422794
2018-02-23,16984989.32612588,19016163.99088055,16416174.47905961
2018-02-26,17128020.702655524,19298868.44447255,16624637.158298856
2018-02-27,16768278.65384149,19013872.338254575,16345084.862251885
2018-02-28,16555478.695217492,18952459.59929425,16306331.01010759
2018-03-01,16496116.484706435,18736719.75233442,16142659.348284356
2018-03-02,16404882.802310603,18711157.398345646,16089299.861983633
2018-03-05,16506912.873816716,18858905.747197527,16197310.004769672
2018-03-06,16617568.728212109,18874347.510554504,16213350.425576182
2018-03-07,16505292.74230752,18745697.28530787,16114177.535731545
2018-03-08,16534048.654646153,18839453.01281577,16174775.207185509
2018-03-09,16982712.623050567,19335533.904111333,16505047.371826896
2018-03-12,17046515.565847933,19307941.061068665,16518653.40226881
2018-03-13,16901971.142609786,19135231.337807816,16362510.3898865
2018-03-14,16763376.585438425,18955988.244879443,16267430.95182561
2018-03-15,16727548.038846597,18960911.68250717,16273046.916639928
2018-03-16,16825688.139897108,19083894.602397513,16362677.309514387
2018-03-19,16654836.314245595,18869236.923157815,16219172.092289569
2018-03-20,16653575.026615815,18815448.091189224,16156415.884239003
