Date,Portfolio Value,Rebalance,Trade Cost EUR,Selected ETFs,N ETFs,Weight XEON,Regime,Reason
2023-04-28,27462519.82,True,4596.44,"IWDA.L, VGK, EWJ, IUSN.DE, MCHI, EWT, EWY, XLI, ITB, XLP, XLK, SOXX, BOTZ, GLD, COPX, BITO",16,0.0134,normal,"rebalance: COPX peso=0.0810 fuera de [0.0188, 0.0588]"
2023-05-31,27748169.71,True,4195.13,"VGK, EWJ, IUSN.DE, MCHI, XLC, ITB, XLP, XLK, SOXX, IGV, BOTZ, GLD, SLV, COPX, BITO",15,0.0174,normal,"rebalance: BITO peso=0.0989 fuera de [0.1012, 0.1412]"
2023-06-30,29221776.07,True,4492.5,"IWDA.L, VGK, EWJ, IUSN.DE, EWT, EWY, XLC, ITB, XLU, XLK, SOXX, IGV, BOTZ, GLD, SLV, DBA, BITO",17,0.0099,normal,"rebalance: COPX peso=0.0385 fuera de [0.0000, 0.0200]"
2023-07-31,29584824.24,True,6344.2,"IWDA.L, EWJ, EWZ, XLY, XLC, XLI, IYT, ITB, XLK, SOXX, IGV, BOTZ, DBA, BITO",14,0.0,normal,"rebalance: DBA peso=0.0416 fuera de [0.0600, 0.1000]"
2023-08-31,28606478.14,True,2976.73,"IWDA.L, EWZ, INDA, XLC, XOP, XLI, IYT, ITB, XLP, XLK, SOXX, IGV, BOTZ, DBA, BITO",15,0.0,normal,"rebalance: BITO peso=0.0967 fuera de [0.0544, 0.0944]"
2023-09-29,28669542.98,True,3748.45,"IWDA.L, EWZ, INDA, XLY, XLC, XOP, IYT, ITB, XLK, SOXX, IGV, SLV, DBA, BITO",14,0.0058,normal,"rebalance: BITO peso=0.0790 fuera de [0.0000, 0.0333]"
2023-10-31,27782104.34,True,5837.56,"IWDA.L, EWZ, INDA, XLY, XLC, XLE, XOP, ITB, XLK, SOXX, IGV, CIBR, DBA, TIP, HYG, EMB, BITO",17,0.0118,normal,"rebalance: BITO peso=0.0175 fuera de [0.0807, 0.1207]"
2023-11-30,29086195.34,True,3839.82,"IEMA.L, EWZ, INDA, XLY, XLC, KBE, XLE, XOP, XLK, SOXX, IGV, CIBR, GLD, DBA, TIP, HYG, EMB, BITO",18,0.0088,normal,"rebalance: DBA peso=0.0942 fuera de [0.0329, 0.0729]"
2023-12-29,30337518.25,True,6207.08,"IWDA.L, IEMA.L, EWZ, INDA, XLY, XLC, XLF, KBE, XOP, XLB, ITB, XLK, SOXX, IGV, CIBR, GLD, SLV, DBA, HYG, BITO",20,0.0,normal,"rebalance: BITO peso=0.1107 fuera de [0.0631, 0.1031]"
2024-01-31,30810710.79,True,6581.91,"IWDA.L, IUSN.DE, IEMA.L, EWZ, INDA, EWT, EWY, XLC, XLF, KBE, XLB, ITB, SOXX, IGV, CIBR, VNQ, GLD, BITO",18,0.0,normal,"rebalance: DBA peso=0.0290 fuera de [0.0000, 0.0200]"
2024-02-29,33111934.53,True,6923.82,"IWDA.L, EWJ, IUSN.DE, IEMA.L, EWZ, INDA, XLC, XLF, XLB, ITB, XLV, XLK, SOXX, IGV, CIBR, GLD, COPX, HYG, LQD, BITO",20,0.0,normal,"rebalance: BITO peso=0.1307 fuera de [0.0610, 0.1010]"
2024-03-28,34635359.23,True,7206.12,"IWDA.L, EWJ, IEMA.L, EWZ, INDA, XLC, XLF, XLI, IYT, ITB, XLV, XBI, XLP, XLK, SOXX, CIBR, HYG, LQD, EMB, BITO",20,0.0,normal,"rebalance: COPX peso=0.0265 fuera de [0.0000, 0.0200]"
2024-04-30,33105080.26,True,8905.56,"IWDA.L, EWJ, EWT, XLC, XLF, KBE, XLI, XLB, ITB, XBI, SOXX, BOTZ, GLD, DBA, COPX, BITO",16,0.0036,normal,"rebalance: BITO peso=0.0730 fuera de [0.0840, 0.1240]"
2024-05-31,34348446.59,True,5582.92,"INDA, XLC, XLF, KBE, XLI, ITB, XBI, XLP, SOXX, BOTZ, GLD, COPX, BITO",13,0.0,normal,"rebalance: BOTZ peso=0.0164 fuera de [0.0384, 0.0784]"
2024-06-28,34412013.78,True,8632.56,"IWDA.L, VGK, INDA, EWT, XLC, XLF, KBE, XLI, XLP, XLU, SOXX, SLV, DBA, COPX, BITO",15,0.0135,normal,"rebalance: BOTZ peso=0.0592 fuera de [0.0000, 0.0200]"
